School Name,Type,Number,Address,Borough,State,Zip,Building Code,x,y
P233Q@42,P (District 75),233,488 Beach 66th St,Arverne ,NY,11692,,-73.79506,40.5943457
PS811Q@ Queens High School of Teaching,PS,811,74-20 Commonwealth Blvd.,Bellerose,NY,11426,Q811,-73.718058,40.72576275
New York City Children's Center - Queens,P (District 75),23,74-03 Commonwealth Boulevard,Bellerose,NY,11426,,-73.718058,40.72576275
,PS,76,770 GROTE STREET,BRONX,NY,10460,X034,-73.88368634,40.8502491
Jonathan D. Hyatt,PS,154,333 EAST 135th STREET,BRONX,NY,10454,X154,-73.9257835,40.80825105
Bronx International High School,HS,403,1110 BOSTON ROAD,BRONX,NY,10456,X400,-73.9045098,40.8273033
Family Life Academy Charter School II,Charter,233,296 EAST 140th STREET,BRONX,NY,10454,XAGV,-73.924656,40.811457
Lucero Elementary School,PS,311,1425 WALTON AVENUE,BRONX,NY,10452,X064,-73.91575951,40.84031025
Bronx Academy of Promise Charter School,Charter,419,1349 INWOOD AVENUE,BRONX,NY,10452,XASK,-73.92000173,40.83961455
Bronx Lighthouse Charter School,Charter,185,1001 INTERVALE AVENUE,BRONX,NY,10459,X716,-73.89739093,40.8232106
Francisco Oller,PS,61,1550 CROTONA PARK EAST,BRONX,NY,10460,X061,-73.89285904,40.83634215
Claremont,PS,42,1537 WASHINGTON AVENUE,BRONX,NY,10457,X042,-73.9031078,40.8385989
Sedgwick,PS,109,1771 POPHAM AVENUE,BRONX,NY,10453,X109,-73.9186312,40.8515299
Samuel Gompers Career and Technical Education High School,HS,655,455 Southern Blvd,Bronx,NY,10455,X655,-73.9031396,40.8122526
The Urban Assembly Bronx Academy of Letters,HS,551,339 MORRIS AVENUE,BRONX,NY,10451,X183,-73.9260636,40.8136235
"Harlem Renaissance High School

",IS,177,1260 FRANKLIN AVENUE,BRONX,NY,10456,X862,-73.90218038,40.8309906
Crotona Academy High School,HS,321,639 ST. ANNS AVENUE,BRONX,NY,10455,X963,-73.91181523,40.81721865
Comprehensive Model School Project M.S. 327,MS/HS,327,1501 JEROME AVENUE,BRONX,NY,10452,X240,-73.916202,40.842483
Mount Eden Children's Academy,PS,555,1501 JEROME AVENUE,BRONX,NY,10452,X240,-73.916202,40.842483
Mott Haven Academy Charter School,IS,394,170 BROWN PLACE,BRONX,NY,10454,XASK,-73.92088528,40.80631085
,PS,306,40 WEST TREMONT AVENUE,BRONX,NY,10453,X306,-73.91080183,40.8513498
Luisa Dessus Cruz,MS,302,681 KELLY STREET,BRONX,NY,10455,X052,-73.9017701,40.8156756
Arturo A. Schomburg Satellite Academy Bronx,HS,446,1010 Reverend James A. POLITE AVENUE,BRONX,NY,10459,X401,-73.89856605,40.82320465
The Family School,PS,443,1116 SHERIDAN AVENUE,BRONX,NY,10456,X090,-73.91762748,40.83205015
Bronx Leadership Academy High School,HS,525,1710 WEBSTER AVENUE,BRONX,NY,10457,X876,-73.9028966,40.8433249
Success Academy Charter School - Bronx 2,PS,494,450 SAINT PAUL'S PLACE,BRONX,NY,10456,X055,-73.90519889,40.8358801
Bronx High School for Medical Science,HS,413,240 EAST 172nd STREET,BRONX,NY,10457,X410,-73.9117451,40.83944
Bronx High School of Business,HS,412,240 EAST 172nd STREET,BRONX,NY,10457,X410,-73.9117451,40.83944
University Heights Secondary School,HS,495,701 ST. ANNS AVENUE,BRONX,NY,10455,X470,-73.9111832,40.8183204
The William Lloyd Garrison,PS/MS,31,250 EAST 156th STREET,BRONX,NY,10451,X151,-73.9213414,40.8226809
Benjamin Franklin,CS,55,450 St. Paul's Place,Bronx,NY,10456,X055,-73.90519889,40.8358801
Inocensio Casanova,PS,62,660 FOX STREET,BRONX,NY,10455,X062,-73.9002559,40.8139737
Jonas Bronck,PS,43,165 BROWN PLACE,BRONX,NY,10454,X043,-73.92194,40.80639
Fannie Lou Hamer Freedom High School,HS,682,1021 JENNINGS STREET,BRONX,NY,10460,X878,-73.8861146,40.8309293
Academy for Career and Living Skills,PS,811,1434 LONGFELLOW AVENUE,BRONX,NY,10459,X084,-73.88757036,40.83042102
,PS,10,2750 LAFAYETTE AVENUE,BRONX,NY,10465,X101,-73.8294928,40.8269911
The Wilton School,PS,30,510 EAST 141st STREET,BRONX,NY,10454,X030,-73.91778,40.80917
KIPP Academy Charter School,Charter,704,250 EAST 156th STREET,BRONX,NY,10451,X151,-73.9213414,40.8226809
Rafael Hernandez Dual Language Magnet School,PS/IS,218,1220 GERARD AVENUE,BRONX,NY,10452,X235,-73.91960128,40.8356532
Family Life Academy Charter School,Charter,705,14 WEST 170th STREET,BRONX,NY,10452,XABC,-73.91866275,40.84026825
,PS,17,778 FOREST AVENUE,BRONX,NY,10456,X184,-73.9050629,40.8188475
Grant Avenue Elementary School,PS,449,250 EAST 164th STREET,BRONX,NY,10456,X166,-73.9176546,40.82809765
The New Children's School,PS,23,2151 WASHINGTON AVENUE,BRONX,NY,10457,X023,-73.89477858,40.8533433
Willis Avenue,PS,49,383 EAST 139th STREET,BRONX,NY,10454,X049,-73.9228849,40.8098698
School of Performing Arts,IS,217,977 FOX STREET,BRONX,NY,10459,X116,-73.89438417,40.82207005
Girls Preparatory Charter School of the Bronx,Charter,487,681 KELLY STREET,BRONX,NY,10455,X052,-73.9017701,40.8156756
Arturo Toscanini,MS,145,1000 TELLER AVENUE,BRONX,NY,10456,X145,-73.914175,40.8278917
Crescent,PS,57,2111 CROTONA AVENUE,BRONX,NY,10457,X057,-73.88897996,40.8486781
New York City Montessori Charter School,Charter,554,423 East 138th Street,Bronx,NY,10454,XAFI,-73.92170306,40.80892555
Performance School,Charter,385,750 CONCOURSE VILLAGE WEST,BRONX,NY,10451,X156,-73.922637,40.8231562
,CS,211,1919 PROSPECT AVENUE,BRONX,NY,10457,X193,-73.89050181,40.84381285
Bronx Collegiate Academy,HS,227,240 EAST 172nd STREET,BRONX,NY,10457,X410,-73.9117451,40.83944
Frederick Douglass Academy V. Middle School,MS,273,2111 CROTONA AVENUE,BRONX,NY,10457,X057,-73.88897996,40.8486781
